cpu,memory,disk,label,cpu_memory_ratio
0.0,44.3,15.5,Light,0.0
28.6,44.3,15.5,Light,0.631346578366446
33.9,44.2,15.5,Medium,0.7499999999999999
23.3,44.3,15.5,Light,0.5143487858719648
18.8,44.4,15.5,Light,0.4140969162995595
20.3,44.1,15.5,Light,0.4501108647450111
25.0,44.3,15.5,Light,0.5518763796909493
24.1,44.1,15.5,Light,0.5343680709534369
21.9,44.1,15.5,Light,0.4855875831485587
22.7,44.2,15.5,Light,0.5022123893805309
18.6,44.2,15.5,Light,0.4115044247787611
23.6,44.1,15.5,Light,0.5232815964523282
20.4,44.1,15.5,Light,0.45232815964523276
21.4,44.1,15.5,Light,0.47450110864745004
13.9,44.1,15.5,Light,0.3082039911308204
14.3,44.1,15.5,Light,0.3170731707317073
13.8,44.1,15.5,Light,0.30598669623059865
16.7,44.1,15.5,Light,0.3702882483370288
15.1,44.1,15.5,Light,0.3348115299334811
14.3,44.0,15.5,Light,0.31777777777777777
17.5,44.0,15.5,Light,0.3888888888888889
14.5,44.0,15.5,Light,0.32222222222222224
14.5,44.0,15.5,Light,0.32222222222222224
15.2,44.0,15.5,Light,0.3377777777777778
14.0,44.0,15.5,Light,0.3111111111111111
15.1,43.9,15.5,Light,0.3363028953229399
14.9,44.0,15.5,Light,0.33111111111111113
19.4,43.9,15.5,Light,0.43207126948775054
15.0,43.9,15.5,Light,0.33407572383073497
15.1,43.9,15.5,Light,0.3363028953229399
