cpu,memory,disk,label
0.0,44.3,15.5,Light
28.6,44.3,15.5,Light
33.9,44.2,15.5,Medium
23.3,44.3,15.5,Light
18.8,44.4,15.5,Light
20.3,44.1,15.5,Light
25.0,44.3,15.5,Light
24.1,44.1,15.5,Light
21.9,44.1,15.5,Light
22.7,44.2,15.5,Light
18.6,44.2,15.5,Light
23.6,44.1,15.5,Light
20.4,44.1,15.5,Light
21.4,44.1,15.5,Light
13.9,44.1,15.5,Light
14.3,44.1,15.5,Light
13.8,44.1,15.5,Light
16.7,44.1,15.5,Light
15.1,44.1,15.5,Light
14.3,44.0,15.5,Light
17.5,44.0,15.5,Light
14.5,44.0,15.5,Light
14.5,44.0,15.5,Light
15.2,44.0,15.5,Light
14.0,44.0,15.5,Light
15.1,43.9,15.5,Light
14.9,44.0,15.5,Light
19.4,43.9,15.5,Light
15.0,43.9,15.5,Light
15.1,43.9,15.5,Light
